name,description,price,imageUrls,unit,stock,tags,storeEmail
Abon Ayam Premium,"Abon ayam berkualitas premium dengan tekstur halus dan rasa gurih. Dikemas dalam toples kedap udara untuk kesegaran optimal.",28000,"/images/abon-ayam-1.jpg,/images/abon-ayam-2.jpg",toples,500,"abon,ayam,premium,kemasan,gurih,halal",budi@example.com
Teh Hijau Organik,"Teh hijau organik dari perkebunan Jawa Barat. Dikemas dalam kemasan aluminium foil untuk menjaga aroma dan khasiat antioksidan.",22000,"/images/teh-hijau-1.jpg,/images/teh-hijau-2.jpg",pack,900,"teh,hijau,organik,kemasan,antioksidan,jawa barat",ahmad@example.com
Kacang Mete Panggang,"Kacang mete premium dipanggang dengan sempurna. Dikemas dalam standing pouch untuk menjaga kerenyahan dan cita rasa gurih.",45000,"/images/kacang-mete-1.jpg,/images/kacang-mete-2.jpg",pack,350,"kacang,mete,panggang,kemasan,premium,snack",sari@example.com
Garam Himalaya Pink,"Garam himalaya pink murni dengan mineral alami. Dikemas dalam shaker bottle untuk kemudahan penggunaan di dapur modern.",32000,"/images/garam-himalaya-1.jpg,/images/garam-himalaya-2.jpg",shaker,700,"garam,himalaya,pink,kemasan,mineral,alami",ahmad@example.com
Dendeng Balado Khas,"Dendeng balado khas Minang dengan bumbu pedas manis. Dikemas vakum untuk ketahanan dan kemudahan penyimpanan.",42000,"/images/dendeng-balado-1.jpg,/images/dendeng-balado-2.jpg",pack,450,"dendeng,balado,minang,kemasan,pedas,vakum",budi@example.com
Bumbu Gulai Instant,"Bumbu gulai instant dengan rempah-rempah pilihan. Kemasan praktis untuk memasak gulai authentik dalam waktu singkat.",8000,"/images/bumbu-gulai-1.jpg,/images/bumbu-gulai-2.jpg",sachet,1500,"bumbu,gulai,instant,kemasan,rempah,praktis",sari@example.com
Keripik Pisang Manis,"Keripik pisang manis dari pisang kepok pilihan. Dikemas dalam standing pouch dengan nitrogen flushing untuk kesegaran maksimal.",18000,"/images/keripik-pisang-1.jpg,/images/keripik-pisang-2.jpg",pack,800,"keripik,pisang,manis,kemasan,kepok,nitrogen",ahmad@example.com
Susu Kambing Murni,"Susu kambing murni segar tanpa tambahan kimia. Dikemas dalam botol kaca steril untuk menjaga nutrisi dan kesegaran alami.",35000,"/images/susu-kambing-1.jpg,/images/susu-kambing-2.jpg",botol,300,"susu,kambing,murni,kemasan,segar,steril",budi@example.com
Ikan Asin Jambal,"Ikan asin jambal kualitas export dengan proses pengeringan optimal. Dikemas vakum untuk menjaga rasa dan mencegah kontaminasi.",55000,"/images/ikan-asin-1.jpg,/images/ikan-asin-2.jpg",pack,250,"ikan,asin,jambal,kemasan,export,vakum",ahmad@example.com
Tempe Kedelai Organik,"Tempe kedelai organik fermentasi tradisional. Dikemas fresh dalam kemasan biodegradable ramah lingkungan.",12000,"/images/tempe-1.jpg,/images/tempe-2.jpg",pack,1000,"tempe,kedelai,organik,kemasan,fermentasi,biodegradable",sari@example.com
